accommodation 	accommodations 	NOUN 	a place where you live or stay
offence 	offense 	NOUN 	a crime
offence 	offense 	NOUN 	when something rude makes someone upset or angry
pavement 	sidewalk 	NOUN 	a path by the side of a road that people walk on
petrol 	gas 	NOUN 	a liquid fuel used in cars
petrol station 	gas station 	NOUN 	a place where you can buy petrol
practise 	practice 	VERB 	to do or play something regularly or repeatedly in order to become skilled at it
practise 	practice 	VERB 	to work as a doctor or a lawyer
programme 	program 	NOUN 	a show on television or radio
programme 	program 	NOUN 	a plan of events or activities with a particular purpose
public transport 	public transportation 	NOUN 	a system of vehicles such as buses and trains which operate at regular times on fixed routes and are used by the public
pyjamas 	pajamas 	NOUN 	soft loose clothing which is worn in bed and consists of trousers and a type of shirt
railway 	railroad 	NOUN 	the system of transport which uses trains, or the metal tracks on which trains run
rumour 	rumor 	NOUN 	a fact that a lot of people are talking about although they do not know if it is true
skilful 	skillful 	ADJECTIVE 	good at doing something
skilful 	skillful 	ADJECTIVE 	done or made very well
soya 	soy 	NOUN 	a substance made from beans and used to make many foods
splendour 	splendor 	NOUN 	when something is extremely beautiful or luxurious
sweet 	candy 	NOUN 	a small piece of sweet food, often made of sugar or chocolate
takeaway 	takeout 	NOUN 	a meal that you buy in a restaurant or shop but eat at home, or a shop that sells this type of meal
theatre 	theater 	NOUN 	a building with a stage where people go to watch plays
tick 	check mark 	NOUN 	a mark that shows that something is correct or has been done
timber 	lumber 	NOUN 	wood used for building or trees that are grown to provide this wood
timber 	lumber 	NOUN 	a long piece of wood used for building, especially houses and ships
traveller 	traveler 	NOUN 	someone who travels
trolley 	shopping cart 	NOUN 	a metal object with two or four wheels that you push or pull to transport large or heavy objects on
tyre 	tire 	NOUN 	a thick, round piece of rubber filled with air, that fits around a wheel
vest 	undershirt 	NOUN 	a piece of underwear that you wear under a shirt
wardrobe 	closet 	NOUN 	a large cupboard for keeping clothes in
wardrobe 	closet 	NOUN 	all the clothes that you own
whisky 	whiskey 	NOUN 	a strong, pale brown alcoholic drink, originally produced in Scotland, that is made from barley
windscreen 	windshield 	NOUN 	the window at the front end of a car, bus, etc.
zip 	zipper 	NOUN 	a thing for fastening clothes, bags, etc. consisting of two rows of very small parts that connect together
