65	acceptable	ADJECTIVE	14590887	B1	[GOOD ENOUGH]	good enough
66	acceptable	ADJECTIVE	14590887	C1	[ALLOWED]	allowed or approved of
67	acceptance	NOUN	36864919	C1	[]	when you accept something
68	accepted	ADJECTIVE	46922000	C1	[]	agreed or approved by most people
69	access	NOUN	217986984	B1	[RIGHT/OPPORTUNITY]	the right or opportunity to use or look at something
70	access	NOUN	217986984	B1	[METHOD]	the way in which you can enter a place or get to a place
71	access	VERB	217986984	B2	[]	to find or see information, especially using a computer
72	accessible	ADJECTIVE	18695403	B2	[REACH]	able to be reached or easily got
73	accessible	ADJECTIVE	18695403	C2	[UNDERSTAND]	easy to understand
74	accessory	NOUN	18694578	C1	[]	something extra which is not necessary but is attractive or useful
75	accident	NOUN	18699760	A2	[BAD EVENT]	something bad which happens that is not expected or intended, and which causes injury or damage
76	accident	NOUN	18699760	B1	[by accident]	without being intended
77	accidental	ADJECTIVE	3914021	B2	[]	happening by chance
78	accidentally	ADVERB	2636203	B2	[]	by chance or by mistake
79	acclaimed	ADJECTIVE	2790613	C1	[]	praised by a lot of people
80	accommodation	NOUN	60589803	B1	[]	a place where you live or stay
81	accompany	VERB	3439497	B1	[GO WITH]	to go somewhere with someone
82	accompany	VERB	3439497	B1	[HAPPEN TOGETHER]	to happen or exist at the same time as something else
83	accompany	VERB	3439497	C2	[MUSIC]	to play music to support someone else who is playing or singing
84	accomplish	VERB	6091676	C1	[]	to succeed in doing something good
85	accord	NOUN	5034197	C2	[of your own accord]	If you do something of your own accord, you choose to do it and no one else forces you.
86	accordance	NOUN	25194680	C1	[in accordance with sth]	in the way described by a rule, law, or wish
87	according to	PREPOSITION	47081141	B1	[OPINION]	as said by someone or shown by something
88	according to	PREPOSITION	47081141	B2	[METHOD]	in a way that agrees with
89	account	NOUN	203611349	B1	[BANK]	an arrangement with a bank to keep your money there and to allow you to take it out when you need to
90	account	NOUN	203611349	B2	[REPORT]	a written or spoken description of something that has happened
91	account	NOUN	203611349	B2	[take account of sth]	to consider something when judging a situation
92	account	NOUN	203611349	B2	[take into account sth]	to consider something when judging a situation
93	account	NOUN	203611349	B2	[on account of sth]	because of something
94	account	NOUN	203611349	C1	[by all accounts]	as said by a lot of people
95	account	NOUN	203611349	C2	[on no account; not on any account]	not for any reason or in any situation
96	account	VERB	203611349	C2	[]	to be the reason for something, or to explain the reason for something
97	accountable	ADJECTIVE	3501555	C2	[]	responsible for what you do and having to be able to explain your actions
98	accountant	NOUN	4289265	B1	[]	someone whose job is to keep or examine the financial records of a person or organization
99	accumulate	VERB	1715457	C1	[]	to increase in amount over a period of time, or to make something increase over a period of time
100	accumulation	NOUN	4064397	C2	[]	an amount of something that has been collected
101	accuracy	NOUN	29536020	B2	[]	how correct or exact something is
102	accurate	ADJECTIVE	25144477	B1	[]	correct, exact and without any mistakes
103	accurately	ADVERB	6587832	B1	[]	in an accurate way
104	accusation	NOUN	847191	C1	[]	when you say that someone has done something bad
105	accuse	VERB	1048371	B2	[]	to say that someone has done something bad
106	accustomed	ADJECTIVE	1647188	C1	[accustomed to sth/doing sth]	If you are accustomed to something, you have experienced it often enough for it to seem normal to you.
107	ache	NOUN	1069323	B1	[]	a feeling of pain over an area of your body which continues for a long time
108	ache	VERB	1069323	B2	[]	to have a continuous pain that is unpleasant but not strong
109	achieve	VERB	27332769	B1	[]	to succeed in doing something good, usually by working hard
110	achievement	NOUN	12845656	B1	[]	something very good and difficult that you have succeeded in doing
111	acid	NOUN	30867887	B2	[]	a liquid substance which can react chemically with and sometimes dissolve other materials
112	acknowledge	VERB	6546612	C1	[ACCEPT]	to accept that something is true or exists
113	acknowledge	VERB	6546612	C1	[SAY RECEIVED]	to tell someone, usually in writing, that you have received something they sent you
114	acquaintance	NOUN	1339448	C1	[]	someone who you know but do not know well
115	acquire	VERB	8803690	B2	[GET]	to get something
116	acquire	VERB	8803690	B2	[LEARN]	to learn something
117	acre	NOUN	6660361	C2	[]	a unit for measuring area, equal to 4047 square metres
118	across	ADVERB; PREPOSITION	76597151	A2	[]	from one side of something to the other
119	across	ADVERB; PREPOSITION	76597151	C2	[across the board]	happening or having an effect on people at every level and in every area
120	across	PREPOSITION	76597151	A2	[]	on the opposite side of
121	act	VERB	141076205	B1	[PERFORM]	to perform in a film, play, etc.
122	act	VERB	141076205	B1	[BEHAVE]	to behave in a particular way
123	act	VERB	141076205	B2	[DO SOMETHING]	to do something, especially in order to solve a problem
124	act	NOUN	141076205	B1	[THEATRE]	one of the parts a play is divided into
125	act	NOUN	141076205	B2	[THING DONE]	something that someone does
126	act	NOUN	141076205	C2	[FALSE BEHAVIOUR]	behaviour which hides your real feelings or intentions
127	act	NOUN	141076205	C2	[get your act together]	to organize your activities so that you can make progress
128	action	NOUN	162023431	B1	[ACTIVITY]	things which are happening, especially exciting or important things
129	action	NOUN	162023431	B2	[DO]	something that you do
130	action	NOUN	162023431	C1	[legal action]	a legal process in a court
131	action	NOUN	162023431	C1	[out of action]	damaged or hurt and not able to operate or play sports
132	action	NOUN	162023431	C1	[course of action]	something that you can do in a particular situation
133	action	NOUN	162023431	C2	[FIGHTING]	fighting in a war
134	action	NOUN	162023431	C2	[PROCESS]	a movement or natural process
135	active	ADJECTIVE	84084764	B1	[BUSY]	doing a lot of things, or moving around a lot
136	active	ADJECTIVE	84084764	B1	[GRAMMAR]	An active verb or sentence is one in which the subject is the person or thing doing the action.
137	active	ADJECTIVE	84084764	B2	[INVOLVED]	very involved in an organization or planned activity
138	active	ADJECTIVE	84084764	C1	[VOLCANO]	An active volcano could throw out rocks, fire, etc. at any time.
139	actively	ADVERB	8430340	B2	[]	in a way that involves positive action
140	activity	NOUN	79633609	A2	[EVENT]	something that is done for enjoyment, especially an organized event
141	activity	NOUN	79633609	B2	[WORK]	the work of a group or organization to achieve an aim
142	activity	NOUN	79633609	B2	[MOVEMENT]	when a lot of things are happening or people are moving around
143	actor	NOUN	16282891	A2	[]	someone whose job is to perform in plays, films, etc.
144	actual	ADJECTIVE	42552937	B2	[REAL]	real, not guessed or imagined
145	actual	ADJECTIVE	42552937	B2	[in actual fact]	used to emphasize what is really true, or to give more information
146	actually	ADVERB	69444655	A2	[TRUTH]	used when you are emphasizing what is really true or what really happened
147	actually	ADVERB	69444655	B1	[SURPRISE]	used when you are emphasizing something surprising
148	actually	ADVERB	69444655	B2	[OPPOSITE]	used when you are correcting someone, disagreeing with someone, or saying no to a request
